id	output
[50,"0x951857744785E80e2De051c32EE7b25f9c458C42"]	{"name": "Wrapped XDC", "symbol": "WXDC", "decimals": 18}
[100,"0xe91D153E0b41518A2Ce8Dd3D7944Fa863463a97d"]	{"name": "Wrapped XDAI", "symbol": "WXDAI", "decimals": 18}
[2741,"0x3e177f012334b4F120d920629801A4d14830c428"]	{"name": "Fox Friends", "symbol": "BFF", "decimals": 0}
[5845,"0x0000000000000000000000000000000000000802"]	{"name": "Tangle Network Token", "symbol": "TNT", "decimals": 18}
[34443,"0xd988097fb8612cc24eeC14542bC03424c656005f"]	{"name": "USD Coin", "symbol": "USDC", "decimals": 6}
[324,"0x3355df6D4c9C3035724Fd0e3914dE96A5a83aaf4"]	{"name": "Bridged USDC (zkSync)", "symbol": "USDC.e", "decimals": 6}
[324,"0x9Db6BF8B0215A02BEA9beF28A92D829FD008D480"]	{"name": "Cheems", "symbol": "Cheems", "decimals": 18}
[324,"0x006f916DB2B2341581a0D12d139EBba1878C1793"]	{"name": "ZK", "symbol": "Claim on: zk-claim.io", "decimals": 18}
[324,"0xD58A0FEA5Bd63E0bB86afC5aa3025d2144B5029b"]	{"name": "!    ACX", "symbol": "ACX   [via www.across.events]", "decimals": 18}
[324,"0x5AEa5775959fBC2557Cc8789bC1bf90A239D9a91"]	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
[324,"0x5d0d7BCa050e2E98Fd4A5e8d3bA823B49f39868d"]	{"name": "Zyfi Token", "symbol": "ZFI", "decimals": 18}
[43114,"0x7171F8B378B9F22b83711a2C8D5c44b939F63993"]	{"name": "360Beta", "symbol": "360Beta", "decimals": 18}
[43114,"0x47c3118Ad183712Acd42648e9E522e13690f29a0"]	{"name": "Meat", "symbol": "MEAT", "decimals": 6}
[43114,"0x1BfA7FD90dE1285deB09a734112AB6bCD935fC6a"]	{"name": "H4SHFund", "symbol": "H4SH", "decimals": 18}
[43114,"0xaaF6870d6a6939cA71E2C2792455CAeAB4535970"]	{"name": "TestToken", "symbol": "TT", "decimals": 18}
[81457,"0x992827Bd2510EE0f5A7f6D2175216b1719b2f55F"]	{"name": "Test", "symbol": "TEST", "decimals": 18}
[59144,"0x176211869cA2b568f2A7D4EE941E073a821EE1ff"]	{"name": "USDC", "symbol": "USDC", "decimals": 6}
[59144,"0x464946f3f004b37014D272d6195aC131Eb54B94d"]	{"name": "Carrot", "symbol": "CARROT", "decimals": 18}
[59144,"0x633a9Ab620E149C3F7dCa58080c6BDe5dAE62a8D"]	{"name": "Aphrodite", "symbol": "SEXY", "decimals": 18}
[84532,"0xD590184838E7eea2e27C07399Ce0f44e9346D54C"]	{"name": "DOINEL", "symbol": "MACAROINEL", "decimals": 18}
[84532,"0xe0614c6215F436DfF973671161ce0a7EAA08826E"]	{"name": "FluffyCoin", "symbol": "FULL", "decimals": 18}
[84532,"0xA7954BD715776E29Fb864aB35680Bac9Fa08EaCd"]	{"name": "Cat Token", "symbol": "CAT", "decimals": 18}
