id	output
[50,"0x951857744785e80e2de051c32ee7b25f9c458c42"]	{"name": "Wrapped XDC", "symbol": "WXDC", "decimals": 18}
[100,"0xe91d153e0b41518a2ce8dd3d7944fa863463a97d"]	{"name": "Wrapped XDAI", "symbol": "WXDAI", "decimals": 18}
[100,"0x44fa8e6f47987339850636f88629646662444217"]	{"name": "Dai Stablecoin on xDai", "symbol": "DAI", "decimals": 18}
[324,"0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4"]	{"name": "Bridged USDC (zkSync)", "symbol": "USDC.e", "decimals": 6}
[2741,"0x75d5913f6dbcb56d72d67b534b88b01871f6cc84"]	{"name": "Test Token", "symbol": "TST", "decimals": 18}
[2818,"0xc7d67a9cbb121b3b0b9c053dd9f469523243379a"]	{"name": "Tether USD", "symbol": "USDT", "decimals": 6}
[34443,"0xd988097fb8612cc24eec14542bc03424c656005f"]	{"name": "USD Coin", "symbol": "USDC", "decimals": 6}
[50104,"0xe2c0c3e0ff10df4485a2dcbbdd1d002a40446164"]	{"name": "ERC20Faucet", "symbol": "FAU-ERC20", "decimals": 18}
[10,"0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"]	{"name": "Dai Stablecoin", "symbol": "DAI", "decimals": 18}
[10,"0x4200000000000000000000000000000000000042"]	{"name": "Optimism", "symbol": "OP", "decimals": 18}
[81457,"0x4300000000000000000000000000000000000003"]	{"name": "USDB", "symbol": "USDB", "decimals": 18}
[43114,"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e"]	{"name": "USD Coin", "symbol": "USDC", "decimals": 6}
[43114,"0x714f020c54cc9d104b6f4f6998c63ce2a31d1888"]	{"name": "UNKNOWN", "symbol": "FITFI", "decimals": 18}
[59144,"0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f"]	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
[80094,"0xab281bbc2bc34a1f202ddff17ffd1c00edf73f3a"]	{"name": "Test Token", "symbol": "TST", "decimals": 18}
[81457,"0x4300000000000000000000000000000000000004"]	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
[81457,"0x32c09c5249eb7f2fcb987e145a414ba6525a7274"]	{"name": "Foo", "symbol": "FOO", "decimals": 18}
[88888,"0x8c0b6ea89daba6516df9437a60ca481501781606"]	{"name": "Kayen token", "symbol": "KAYEN", "decimals": 18}
[534352,"0x06efdbff2a14a7c8e15944d1f4a48f9f95f663a4"]	{"name": "USD Coin", "symbol": "USDC", "decimals": 6}
[137,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270"]	{"name": "Wrapped Polygon Ecosystem Token", "symbol": "WPOL", "decimals": 18}
[84532,"0x403f31d52722cc911642247003a6b51b0b36b3b1"]	{"name": "USD Coin", "symbol": "USDC", "decimals": 6}
[11155111,"0x776b6fc2ed15d6bb5fc32e0c89de68683118c62a"]	{"name": "Dai Stablecoin", "symbol": "DAI", "decimals": 18}
