id	output
[50,"0x678adf7955d8f6dcaa9e2fcc1c5ba70bccc464e6"]	{"name": "Gama Coin", "symbol": "GAMA", "decimals": 18}
[50,"0x6168664ffc0a22cc4e9df7cb7247dcbb0c066169"]	{"name": "0xFútbol", "symbol": "FUTBOL", "decimals": 18}
[50,"0x23db6050336b16fc7d7030956b03214537e55f2e"]	{"name": "VitalVEDA", "symbol": "VVFIT", "decimals": 18}
[50,"0x9640ebf3807401a3c9e4a290e6ac0678e23c9985"]	{"name": "Frac Ecosystem Token", "symbol": "FRAC", "decimals": 18}
[50,"0x2d1c02cf9e7a1659b82185fef243078bfd237b23"]	{"name": "Roxonn Token", "symbol": "ROXN", "decimals": 18}
[50104,"0xe2c0c3e0ff10df4485a2dcbbdd1d002a40446164"]	{"name": "ERC20Faucet", "symbol": "FAU-ERC20", "decimals": 18}
[50104,"0x2b1a859de6a55c553520d7780bc5805712b128f9"]	{"name": "Wrapped Sophon", "symbol": "WSOPH", "decimals": 18}
[50,"0x951857744785e80e2de051c32ee7b25f9c458c42"]	{"name": "Wrapped XDC", "symbol": "WXDC", "decimals": 18}
[2818,"0x2de92156000269fa2fde7544f10f01e8cbc80ffa"]	{"name": "Test ERC20 token", "symbol": "TKN", "decimals": 18}
[2818,"0xc7d67a9cbb121b3b0b9c053dd9f469523243379a"]	{"name": "Tether USD", "symbol": "USDT", "decimals": 6}
[2818,"0x5300000000000000000000000000000000000011"]	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
[2818,"0x803dce4d3f4ae2e17af6c51343040dee320c149d"]	{"name": "Wrapped BTC", "symbol": "WBTC", "decimals": 8}
[2818,"0xe34c91815d7fc18a9e2148bcd4241d0a5848b693"]	{"name": "USD Coin", "symbol": "USDC", "decimals": 6}
[5845,"0x6fe81f4bf1af1b829f0e701647808f3aa4b0bde7"]	{"name": "Test ERC20 token", "symbol": "TKN", "decimals": 18}
[5845,"0x0000000000000000000000000000000000000802"]	{"name": "Tangle Network Token", "symbol": "TNT", "decimals": 18}
[2741,"0x75d5913f6dbcb56d72d67b534b88b01871f6cc84"]	{"name": "Test Token", "symbol": "TST", "decimals": 18}
[2741,"0x9ebe3a824ca958e4b3da772d2065518f009cba62"]	{"name": "Pudgy Penguins", "symbol": "PENGU", "decimals": 18}
[2741,"0x1ea7d0b5317741a2581d7dc98075a11efd149312"]	{"name": "KINO", "symbol": "KINO", "decimals": 18}
[2741,"0x90ea5514e18bb73ba0bf4ed86e42d3578bbaea4d"]	{"name": "Test", "symbol": "TEST", "decimals": 18}
[2741,"0xe516db039440f3d7aeaf92ed52ab8c5a190083b0"]	{"name": "Frostic", "symbol": "FROST", "decimals": 18}
[2741,"0x140f881932ce4ef84a54b20eda31bbb1e3a137ad"]	{"name": "DREAMILLIONAIRES", "symbol": "DREAM", "decimals": 18}
[5330,"0x6d64fc0bb0291c6a4f416ec1c379815c06967eaf"]	{"name": "MockERC20", "symbol": "MOCK", "decimals": 18}
