id	output
[8453,"0x00000000000007c8612ba63df8ddefd9e6077c97"]	{"decimals":18,"name":"NANI","symbol":"⌘"}
[8453,"0x000000000000a59351f61b598e8da953b9e041ec"]	{"decimals":18,"name":"Gun Game Token","symbol":"GG"}
[1,"0x0000000000c5dc95539589fbd24be07c6c14eca4"]	{"decimals":18,"name":"Milady Cult Coin","symbol":"CULT"}
[8453,"0x000096630066820566162c94874a776532705231"]	{"decimals":18,"name":"IDRISS","symbol":"IDRISS"}
[8453,"0x00032453e89f39c64b0d12dd854cb2531b1b4290"]	0
[8453,"0x00060cc234cd16d766197cf97c95acc6d59379fa"]	0
[8453,"0x0008ed61fe9affc6dbe9172811000b7f40fc33a5"]	0
[8453,"0x00092b4d43e80f6f2c350b32a3a7aee7c3f43d76"]	0
[56,"0x000ae314e2a2172a039b26378814c252734f556a"]	{"decimals":18,"name":"Aster","symbol":"ASTER"}
[8453,"0x001315ebe3ce9a66818091a8b1571fa2688a01c5"]	{"decimals":18,"name":"La Lilith","symbol":"COIN"}
[8453,"0x0014fbd0b6fdef10d39cf029c65e7999dd56e7a6"]	{"decimals":18,"name":"","symbol":""}
[8453,"0x001aa8322b433730ed6f6c17d541690d044267c2"]	{"decimals":18,"name":"Invoice 8.6B","symbol":"INV86"}
[8453,"0x0022df4cb773523fff0ab728ede80cdca90e96fc"]	0
[8453,"0x00239c290e06504f6c35753ebd176494ab9542b6"]	{"decimals":18,"name":"","symbol":""}
[8453,"0x00252ab5e6f4c04197e98edad1b78f451fd507b2"]	{"decimals":18,"name":"Claw DeFi","symbol":"CLAWDEFI"}
[8453,"0x0026b8a84ffdb7b360f4c3ff1efe6973dc49741a"]	{"decimals":18,"name":"BALD","symbol":"BALD"}
[8453,"0x002764ceb5a16925c3bd755ca4e7c235d5067914"]	0
[8453,"0x0028c29758b109aae65fbbaf77b10d62f68ffbde"]	{"decimals":18,"name":"","symbol":""}
[8453,"0x0028e1e60167b48a938b785aa5292917e7eaca8b"]	{"decimals":18,"name":"Coinye West","symbol":"COINYE"}
[8453,"0x002a543eb8f384af68d9930ebd2dde917a36fec8"]	0
[8453,"0x002c219f8b497bcf2d0b0b3cccc054dbfc8a83f7"]	0
[8453,"0x002ecc136b823c3b36a9ed874bcdbeb4d2345248"]	{"decimals":18,"name":"","symbol":""}
[8453,"0x002f22bf5b76fdb13f48ced6071ea10723c6dac2"]	{"decimals":18,"name":"","symbol":""}
[8453,"0x002f915b042564a361956743a953721dd6a185cd"]	0
[8453,"0x00341cba1f2afca4af8344e5414f0ed3bb8e3f69"]	{"decimals":18,"name":"","symbol":""}
[8453,"0x003784c6e1a5dd2ff972dcf3f0c1cfed5f99c9dc"]	{"decimals":18,"name":"","symbol":""}
[8453,"0x003944c350b2888a0191f3c937a61e6c6ea7ec4f"]	0
